location,latitude,longitude
Haiti,19.1399952,-72.3570972
Mexico,19.4326296,-99.1331785
Guadeloupe,16.2528827,-61.5686855
Russia,64.6863136,97.7453061
"United States, New Mexico",34.5802074,-105.996047
Uruguay,-32.8755548,-56.0201525
Martinique,14.6113732,-60.9620777
Greenland,43.0361995,-70.8328322
Chad,15.6134137,19.0156172
Norway,64.5731537,11.52803643954819
Fiji Islands,-17.2909471,177.12578580330327
American Samoa,-14.297124,-170.7131481
Ecuador,-1.3397668,-79.3666965
New Caledonia,-20.63784275,161.21176261225781
Mauritania,20.2540382,-9.2399263
"United States, New York",40.7127281,-74.0060152
Nepal,28.3780464,83.9999901
Eritrea,15.9500319,37.9999668
Samoa,-13.7693895,-172.12005
Guernsey,49.46229125,-2.5812022503294356
Yemen,16.3471243,47.8915271
"United States, Colorado",38.7251776,-105.607716
Andorra,42.5407167,1.5732033
"United States, Mississippi",32.9715285,-89.7348497
Spain,39.3260685,-4.8379791
Lithuania,55.3500003,23.7499997
Honduras,15.2572432,-86.0755145
Uganda,1.5333554,32.2166578
Bosnia and Herzegovina,44.3053476,17.5961467
"Canada, Alberta",55.001251,-115.002136
"United States, California",36.7014631,-118.755997
Burkina Faso,12.0753083,-1.6880314
Kyrgyzstan,41.5089324,74.724091
Brazil,-10.3333333,-53.2
"United States, Massachusetts",42.3788774,-72.032366
Virgin Islands (U.S.),17.72912395,-64.7589156481904
France,46.603354,1.8883335
"United States, Kentucky",37.5726028,-85.1551411
Uzbekistan,41.32373,63.9528098
Wales,52.2928116,-3.73893
Cyprus,34.9174159,32.889902651331866
Bhutan,27.549511,90.5119273
Utah,39.4225192,-111.714358
South Africa,-28.8166236,24.991639
"Canada, Quebec",52.4760892,-71.8258668
"United States, Texas",31.2638905,-98.5456116
Gabon,-0.8999695,11.6899699
Poland,52.215933,19.134422
Azerbaijan,40.3936294,47.7872508
Syria,34.8147886,38.42317811509885
Jordan,44.6663146,-93.6261918
El Salvador,13.8000382,-88.9140683
Vatican City,41.903411,12.4528527
Bangladesh,24.4769288,90.2934413
Bahamas,24.7736546,-78.0000547
Christmas Island,-10.4837768,105.64723
Madagascar,-18.9249604,46.4416422
Switzerland,46.7985624,8.2319736
"United States, Oklahoma",34.9550817,-97.2684063
"United States, Arkansas",35.2048883,-92.4479108
Tunisia,36.8002068,10.1857757
"United States, Montana",47.3752671,-109.638757
Zimbabwe,-18.4554963,29.7468414
Anguilla,18.1954947,-63.0750234
Bermuda,32.3040273,-64.7563086
"United States, Kansas",38.27312,-98.5821872
"United States, Illinois",40.0796606,-89.4337288
Barbados,13.1500331,-59.5250305
Slovenia,46.1199444,14.8153333
British Indian Ocean Territory,-5.3497093499999995,71.86064227010121
Slovak Republic,48.7411522,19.4528646
"United States, Ohio",40.2253569,-82.6881395
Saint Lucia,13.8250489,-60.975036
Gambia,13.470062,-15.4900464
Japan,36.5748441,139.2394179
Taiwan,23.5983227,120.83537694479215
Papua New Guinea,-5.6816069,144.2489081
"United States, Wyoming",43.1700264,-107.568534
"United States, North Dakota",47.6201461,-100.540737
Isle of Man,54.1936805,-4.5591148
Rwanda,-1.9646631,30.0644358
Macau,22.1757605,113.5514142
Palestine,31.7621153,-95.6307891
Turkish Republic of Cyprus,34.9245405,33.619775473239386
Transdniestra,,
"Canada, Newfoundland and Labrador",53.8217327,-61.2295532
Mauritius,-20.2759451,57.5703566
Tokelau,-9.1676396,-171.819687
Portugal,39.6621648,-8.1353519
Antigua and Barbuda,17.2234721,-61.9554608
Malawi,-13.2687204,33.9301963
Oman,21.0000287,57.0036901
Peru,-6.8699697,-75.0458515
North Korea,40.3736611,127.0870417
"United States, Vermont",44.5990718,-72.5002608
Saint Vincent and The Grenadines,12.90447,-61.2765569
Libya,26.8234472,18.1236723
Puerto Rico,18.2247706,-66.4858295
India,22.3511148,78.6677428
"United Kingdom, Wales",52.2928116,-3.73893
Kazakhstan,48.1012954,66.7780818
Equatorial Guinea,1.613172,10.5170357
"United States, Connecticut",41.6500201,-72.7342163
Ireland,52.865196,-7.9794599
Vietnam,15.9266657,107.9650855
Botswana,-23.1681782,24.5928742
"United States, Georgia",32.3293809,-83.1137366
Northern Mariana Islands,15.1753648,145.7379338
"United States, Idaho",43.6447642,-114.015407
Czech Republic,49.7439047,15.3381061
Turkey,38.9597594,34.9249653
Mozambique,-19.302233,34.9144977
Congo,-2.9814344,23.8222636
Panama,8.559559,-81.1308434
Sierra Leone,8.6400349,-11.8400269
Liberia,5.7499721,-9.3658524
South Korea,36.638392,127.6961188
Romania,45.9852129,24.6859225
Lebanon,40.375713,-76.4626118
Pakistan,30.3308401,71.247499
Morocco,28.3347722,-10.371337908392647
Turks and Caicos Islands,21.721746,-71.5527809
Israel,30.8124247,34.8594762
Saudi Arabia,25.6242618,42.3528328
Myanmar,17.1750495,95.9999652
Sudan,34.0678644,-102.524362
Moldova,47.2879608,28.5670941
Tuvalu,-8.6405212,179.1582918181797
Guatemala,15.5855545,-90.345759
"Canada, New Brunswick",46.500283,-66.750183
Indonesia,-2.4833826,117.8902853
"United States, Utah",39.4225192,-111.714358
Philippines,12.7503486,122.7312101
United States,39.7837304,-100.445882
"United States, Washington DC",38.8950368,-77.0365427
Ethiopia,10.2116702,38.6521203
Bolivia,-17.0568696,-64.9912286
Belize,17.1204943,-88.6859028
Serbia,44.024322850000004,21.07657433209902
United Arab Emirates,24.0002488,53.9994829
Macedonia,41.1927739,-95.4256198
"Canada, Nova Scotia",45.1960403,-63.1653789
"United States, Maryland",39.5162401,-76.9382069
Croatia,45.3658443,15.6575209
Namibia,-23.2335499,17.3231107
Trinidad & Tobago,10.7466905,-61.0840075
Virgin Islands (British),18.4024395,-64.5661642
Guinea-Bissau,11.815215,-15.2351044
Belgium,50.6402809,4.6667145
Norfolk Island,-29.0328038,167.9483137
"United States, Louisiana",30.8703881,-92.007126
Sao Tome and Principe,0.9713095,7.02255
Nagorno-Karabakh,40.2047239,44.5127443
"United Kingdom, England",52.5310214,-1.2649062
Senegal,14.4750607,-14.4529612
East Timor,-8.7443169,126.063482
"United States, South Carolina",33.6874388,-80.4363743
Guam,13.4499943,144.7651677
Northern Ireland,54.5859836,-6.9591554
Burundi,-3.426449,29.9324519
"United States, Minnesota",45.9896587,-94.6113288
Suriname,4.1413025,-56.0771187
Vanuatu,-16.5255069,168.1069154
Hong Kong,22.350627,114.1849161
Laos,20.0171109,103.378253
Illinois,40.0796606,-89.4337288
Faroe Islands,62.0448724,-7.0322972
Iceland,64.9841821,-18.1059013
Paraguay,-23.3165935,-58.1693445
Thailand,14.8971921,100.83273
England,52.5310214,-1.2649062
Finland,63.2467777,25.9209164
"Canada, British Columbia",55.001251,-125.002441
New York,40.7127281,-74.0060152
Tonga,-19.9160819,-175.202642
Zambia,-14.5189121,27.5589884
Italy,42.6384261,12.674297
"United States, New Jersey",40.0757384,-74.4041622
"United States, United States",39.7837304,-100.445882
Hawaii,19.593801499999998,-155.42837009716908
Jersey,49.2214561,-2.1358386
"United States, Iowa",41.9216734,-93.3122705
"United States, Delaware",38.6920451,-75.4013315
Colombia,4.099917,-72.9088133
Cook Islands,-19.99697155,-157.78587140620786
Armenia,4.536307,-75.6723751
"United States, Michigan",43.6211955,-84.6824346
New Zealand,-41.5000831,172.8344077
Swaziland,-26.5624806,31.3991317
Ivory Coast,7.9897371,-5.5679458
Dominican Republic,19.0974031,-70.3028026
French Polynesia,-17.0243749,-144.6434898
